<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.04	03:00:00	1.05582	1.05695	1.05572	1.05668	2946	0	0
2023.01.04	04:00:00	1.05668	1.05694	1.05615	1.05649	2391	0	0
2023.01.04	05:00:00	1.05651	1.05697	1.05649	1.05689	1488	0	0
2023.01.04	06:00:00	1.05690	1.05745	1.05659	1.05729	1463	0	0
2023.01.04	07:00:00	1.05728	1.05785	1.05646	1.05693	2555	0	0
2023.01.04	08:00:00	1.05693	1.05749	1.05597	1.05701	2809	0	0
2023.01.04	09:00:00	1.05693	1.06060	1.05669	1.05938	5477	0	0
2023.01.04	10:00:00	1.05938	1.06351	1.05902	1.06159	9454	0	0
2023.01.04	11:00:00	1.06155	1.06301	1.06056	1.06106	5271	0	0
2023.01.04	12:00:00	1.06107	1.06228	1.06084	1.06208	3602	0	0
2023.01.04	13:00:00	1.06208	1.06244	1.06022	1.06044	3113	0	0
2023.01.04	14:00:00	1.06044	1.06111	1.05988	1.06073	3691	0	0
2023.01.04	15:00:00	1.06075	1.06197	1.05950	1.06105	5267	0	0
2023.01.04	16:00:00	1.06106	1.06284	1.06023	1.06242	6310	0	0
2023.01.04	17:00:00	1.06238	1.06249	1.05813	1.06031	11618	0	0
2023.01.04	18:00:00	1.06031	1.06207	1.05927	1.06190	6275	0	0
2023.01.04	19:00:00	1.06193	1.06200	1.06048	1.06072	3647	0	0
2023.01.04	20:00:00	1.06072	1.06128	1.05955	1.05986	3094	0	0
2023.01.04	21:00:00	1.05987	1.06068	1.05851	1.06055	7977	0	0
2023.01.04	22:00:00	1.06055	1.06100	1.06011	1.06034	4423	0	0
2023.01.04	23:00:00	1.06036	1.06079	1.06010	1.06034	1743	0	0
2023.01.05	00:00:00	1.06018	1.06101	1.05983	1.06053	1414	0	0
2023.01.05	01:00:00	1.06066	1.06114	1.06029	1.06064	1198	0	0
2023.01.05	02:00:00	1.06059	1.06310	1.06031	1.06292	3112	0	0
2023.01.05	03:00:00	1.06292	1.06314	1.06185	1.06204	3248	0	0
2023.01.05	04:00:00	1.06203	1.06203	1.06092	1.06178	2776	0	0
2023.01.05	05:00:00	1.06178	1.06197	1.06064	1.06072	2183	0	0
2023.01.05	06:00:00	1.06072	1.06117	1.06035	1.06042	1733	0	0
2023.01.05	07:00:00	1.06042	1.06109	1.06016	1.06107	1808	0	0
2023.01.05	08:00:00	1.06106	1.06200	1.06030	1.06032	2704	0	0
2023.01.05	09:00:00	1.06032	1.06122	1.05903	1.06054	4133	0	0
2023.01.05	10:00:00	1.06055	1.06279	1.06050	1.06200	6228	0	0
2023.01.05	11:00:00	1.06200	1.06289	1.06094	1.06234	4467	0	0
2023.01.05	12:00:00	1.06236	1.06260	1.06101	1.06187	3613	0	0
2023.01.05	13:00:00	1.06189	1.06220	1.06030	1.06111	3097	0	0
2023.01.05	14:00:00	1.06111	1.06175	1.05983	1.05995	3579	0	0
2023.01.05	15:00:00	1.05996	1.06084	1.05514	1.05524	8841	0	0
2023.01.05	16:00:00	1.05524	1.05621	1.05357	1.05393	7549	0	0
2023.01.05	17:00:00	1.05393	1.05673	1.05151	1.05184	8562	0	0
2023.01.05	18:00:00	1.05187	1.05320	1.05176	1.05211	5284	0	0
2023.01.05	19:00:00	1.05211	1.05330	1.05187	1.05300	3756	0	0
2023.01.05	20:00:00	1.05300	1.05431	1.05292	1.05360	4493	0	0
2023.01.05	21:00:00	1.05362	1.05387	1.05290	1.05301	3575	0	0
2023.01.05	22:00:00	1.05301	1.05306	1.05199	1.05200	3541	0	0
2023.01.05	23:00:00	1.05209	1.05228	1.05155	1.05217	1453	0	0
2023.01.06	00:00:00	1.05208	1.05227	1.05188	1.05210	712	0	0
2023.01.06	01:00:00	1.05208	1.05262	1.05198	1.05208	1355	0	0
2023.01.06	02:00:00	1.05208	1.05317	1.05189	1.05293	2675	0	0
2023.01.06	03:00:00	1.05293	1.05327	1.05225	1.05251	2516	0	0
2023.01.06	04:00:00	1.05252	1.05341	1.05249	1.05268	1703	0	0
2023.01.06	05:00:00	1.05269	1.05365	1.05261	1.05323	2368	0	0
2023.01.06	06:00:00	1.05317	1.05345	1.05245	1.05245	1148	0	0
2023.01.06	07:00:00	1.05246	1.05251	1.05108	1.05145	2161	0	0
2023.01.06	08:00:00	1.05149	1.05224	1.05105	1.05126	2494	0	0
2023.01.06	09:00:00	1.05127	1.05226	1.05069	1.05125	4518	0	0
2023.01.06	10:00:00	1.05126	1.05308	1.05112	1.05185	4407	0	0
2023.01.06	11:00:00	1.05185	1.05195	1.04965	1.05075	4070	0	0
2023.01.06	12:00:00	1.05074	1.05159	1.05030	1.05076	3460	0	0
2023.01.06	13:00:00	1.05077	1.05111	1.04923	1.04942	3281	0	0
2023.01.06	14:00:00	1.04945	1.04966	1.04833	1.04947	3412	0	0
2023.01.06	15:00:00	1.04945	1.05449	1.04821	1.05426	10328	0	0
2023.01.06	16:00:00	1.05425	1.05433	1.05009	1.05089	9159	0	0
2023.01.06	17:00:00	1.05226	1.06124	1.05226	1.06016	12350	0	0
2023.01.06	18:00:00	1.06017	1.06225	1.05968	1.06187	6136	0	0
2023.01.06	19:00:00	1.06188	1.06381	1.06164	1.06376	3309	0	0
2023.01.06	20:00:00	1.06376	1.06435	1.06295	1.06378	2630	0	0
2023.01.06	21:00:00	1.06378	1.06479	1.06378	1.06455	2174	0	0
2023.01.06	22:00:00	1.06455	1.06479	1.06427	1.06462	2161	0	0
2023.01.06	23:00:00	1.06460	1.06460	1.06421	1.06451	1025	0	0
2023.01.09	00:00:00	1.06398	1.06414	1.06370	1.06396	411	0	10
2023.01.09	01:00:00	1.06405	1.06630	1.06405	1.06627	2769	0	0
2023.01.09	02:00:00	1.06627	1.06678	1.06515	1.06612	2627	0	0
2023.01.09	03:00:00	1.06612	1.06723	1.06553	1.06667	3405	0	0
2023.01.09	04:00:00	1.06668	1.06778	1.06664	1.06770	2955	0	0
2023.01.09	05:00:00	1.06770	1.06770	1.06661	1.06675	2412	0	0
2023.01.09	06:00:00	1.06675	1.06784	1.06668	1.06766	1409	0	0
2023.01.09	07:00:00	1.06766	1.06830	1.06730	1.06771	1975	0	0
2023.01.09	08:00:00	1.06771	1.06862	1.06756	1.06819	2374	0	0
2023.01.09	09:00:00	1.06825	1.06949	1.06682	1.06731	5318	0	0
2023.01.09	10:00:00	1.06732	1.06996	1.06726	1.06902	5530	0	0
2023.01.09	11:00:00	1.06904	1.06935	1.06601	1.06722	4826	0	0
2023.01.09	12:00:00	1.06724	1.06765	1.06616	1.06690	4220	0	0
2023.01.09	13:00:00	1.06692	1.06855	1.06678	1.06843	3184	0	0
2023.01.09	14:00:00	1.06839	1.06936	1.06808	1.06889	3121	0	0
2023.01.09	15:00:00	1.06889	1.07317	1.06853	1.07251	5980	0	0
2023.01.09	16:00:00	1.07252	1.07383	1.07116	1.07282	6500	0	0
2023.01.09	17:00:00	1.07282	1.07493	1.07280	1.07401	5369	0	0
2023.01.09	18:00:00	1.07403	1.07607	1.07401	1.07582	4511	0	0
2023.01.09	19:00:00	1.07581	1.07600	1.07399	1.07501	4298	0	0
2023.01.09	20:00:00	1.07503	1.07541	1.07376	1.07433	3646	0	0
2023.01.09	21:00:00	1.07433	1.07528	1.07417	1.07517	3269	0	0
2023.01.09	22:00:00	1.07517	1.07538	1.07307	1.07311	4203	0	0
2023.01.09	23:00:00	1.07311	1.07353	1.07302	1.07327	1163	0	0
2023.01.10	00:00:00	1.07269	1.07308	1.07255	1.07308	5698	0	22
